type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
charge,2008-04-02 13:08:17,24,B0005,0,1,00001.csv,,,
discharge,2008-04-02 15:25:41,24,B0005,1,2,00002.csv,1.8564874208181574,,
charge,2008-04-02 16:37:51,24,B0005,2,3,00003.csv,,,
discharge,2008-04-02 19:43:48,24,B0005,3,4,00004.csv,1.846327249719927,,
charge,2008-04-02 20:55:40,24,B0005,4,5,00005.csv,,,
discharge,2008-04-03 00:01:06,24,B0005,5,6,00006.csv,1.8353491942234077,,
charge,2008-04-03 01:12:38,24,B0005,6,7,00007.csv,,,
discharge,2008-04-03 04:16:37,24,B0005,7,8,00008.csv,1.8352625275821128,,
charge,2008-04-03 05:27:49,24,B0005,8,9,00009.csv,,,
discharge,2008-04-03 08:33:25,24,B0005,9,10,00010.csv,1.8346455082120419,,
charge,2008-04-03 09:44:35,24,B0005,10,11,00011.csv,,,
discharge,2008-04-03 12:55:10,24,B0005,11,12,00012.csv,1.8356616600675495,,
charge,2008-04-03 14:06:43,24,B0005,12,13,00013.csv,,,
discharge,2008-04-03 17:17:16,24,B0005,13,14,00014.csv,1.8351461429226603,,
charge,2008-04-03 18:28:47,24,B0005,14,15,00015.csv,,,
discharge,2008-04-03 21:28:14,24,B0005,15,16,00016.csv,1.8257567905665537,,
charge,2008-04-03 22:38:27,24,B0005,16,17,00017.csv,,,
discharge,2008-04-04 01:38:15,24,B0005,17,18,00018.csv,1.8247738529891333,,
charge,2008-04-04 02:48:06,24,B0005,18,19,00019.csv,,,
discharge,2008-04-04 05:48:08,24,B0005,19,20,00020.csv,1.824613268496936,,
charge,2008-04-04 06:58:00,24,B0005,20,21,00021.csv,,,
discharge,2008-04-04 09:57:19,24,B0005,21,22,00022.csv,1.8246195526864504,,
charge,2008-04-04 11:06:50,24,B0005,22,23,00023.csv,,,
charge,2008-04-04 15:05:59,24,B0005,23,24,00024.csv,,,
discharge,2008-04-04 17:56:27,24,B0005,24,25,00025.csv,1.8142019357673917,,
charge,2008-04-04 19:05:19,24,B0005,25,26,00026.csv,,,
discharge,2008-04-04 22:01:54,24,B0005,26,27,00027.csv,1.8137521577549054,,
charge,2008-04-04 23:10:25,24,B0005,27,28,00028.csv,,,
discharge,2008-04-05 02:20:26,24,B0005,28,29,00029.csv,1.8134404914735822,,
charge,2008-04-05 03:28:57,24,B0005,29,30,00030.csv,,,
discharge,2008-04-05 06:25:01,24,B0005,30,31,00031.csv,1.8025980036306504,,
charge,2008-04-05 07:33:12,24,B0005,31,32,00032.csv,,,
discharge,2008-04-05 10:30:32,24,B0005,32,33,00033.csv,1.80210690024615,,
charge,2008-04-05 11:38:22,24,B0005,33,34,00034.csv,,,
discharge,2008-04-05 14:34:41,24,B0005,34,35,00035.csv,1.802579500826209,,
charge,2008-04-05 15:42:11,24,B0005,35,36,00036.csv,,,
discharge,2008-04-05 18:39:25,24,B0005,36,37,00037.csv,1.8030683142834096,,
charge,2008-04-05 19:46:36,24,B0005,37,38,00038.csv,,,
discharge,2008-04-05 22:46:35,24,B0005,38,39,00039.csv,1.8027776247196041,,
charge,2008-04-18 17:34:22,24,B0005,39,40,00040.csv,,,
impedance,2008-04-18 20:55:29,24,B0005,40,41,00041.csv,,0.04466870036616091,0.06945627304536996
discharge,2008-04-18 21:10:19,24,B0005,41,42,00042.csv,1.8470259949329193,,
impedance,2008-04-18 22:39:16,24,B0005,42,43,00043.csv,,0.04668700162486933,0.07627474098530587
charge,2008-04-18 22:53:58,24,B0005,43,44,00044.csv,,,
impedance,2008-04-19 02:14:27,24,B0005,44,45,00045.csv,,0.044843430573346096,0.0679720560130687
discharge,2008-04-19 02:29:09,24,B0005,45,46,00046.csv,1.847417311283644,,
impedance,2008-04-19 03:57:24,24,B0005,46,47,00047.csv,,0.04619468955099375,0.07453388918437964
charge,2008-04-19 04:12:06,24,B0005,47,48,00048.csv,,,
impedance,2008-04-19 07:32:33,24,B0005,48,49,00049.csv,,0.04510114851143001,0.06852832896000328
discharge,2008-04-19 07:47:15,24,B0005,49,50,00050.csv,1.8361774213478947,,
impedance,2008-04-19 09:15:10,24,B0005,50,51,00051.csv,,0.04599074473076839,0.07342664108773311
charge,2008-04-19 09:29:52,24,B0005,51,52,00052.csv,,,
impedance,2008-04-19 12:47:00,24,B0005,52,53,00053.csv,,0.044172075577171746,0.06804449516996176
discharge,2008-04-19 13:01:42,24,B0005,53,54,00054.csv,1.8257807475776242,,
impedance,2008-04-19 14:28:58,24,B0005,54,55,00055.csv,,0.0452171085992494,0.07464778408413367
charge,2008-04-19 14:43:41,24,B0005,55,56,00056.csv,,,
impedance,2008-04-19 18:12:47,24,B0005,56,57,00057.csv,,0.043786628196075913,0.06845021227072765
discharge,2008-04-19 18:27:29,24,B0005,57,58,00058.csv,1.8251136435078368,,
impedance,2008-04-19 19:55:05,24,B0005,58,59,00059.csv,,0.04490994541365791,0.07395687603254197
charge,2008-04-19 20:09:47,24,B0005,59,60,00060.csv,,,
impedance,2008-04-19 23:27:13,24,B0005,60,61,00061.csv,,0.04463932198878524,0.0683410113732366
discharge,2008-04-19 23:41:55,24,B0005,61,62,00062.csv,1.8255815042203762,,
impedance,2008-04-20 01:08:11,24,B0005,62,63,00063.csv,,0.04717044086931744,0.07208112164479205
charge,2008-04-20 01:22:53,24,B0005,63,64,00064.csv,,,
impedance,2008-04-20 04:39:59,24,B0005,64,65,00065.csv,,0.043558785775475374,0.06868237655872211
discharge,2008-04-20 04:54:41,24,B0005,65,66,00066.csv,1.8140311275083907,,
impedance,2008-04-20 06:20:57,24,B0005,66,67,00067.csv,,0.04648969708635643,0.07102909339339247
charge,2008-04-20 06:35:39,24,B0005,67,68,00068.csv,,,
impedance,2008-04-20 10:01:46,24,B0005,68,69,00069.csv,,0.04526547818261783,0.0681437253042456
discharge,2008-04-20 10:16:28,24,B0005,69,70,00070.csv,1.8147691941158939,,
impedance,2008-04-20 11:42:26,24,B0005,70,71,00071.csv,,0.0463622366817154,0.07193029860543036
charge,2008-04-20 11:57:08,24,B0005,71,72,00072.csv,,,
impedance,2008-04-20 15:22:22,24,B0005,72,73,00073.csv,,0.044483715777434665,0.06782555719716843
discharge,2008-04-20 15:37:05,24,B0005,73,74,00074.csv,1.813969388710352,,
